--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044746_303바8190.jpg	30어8190                  	0.2947
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044845_11어9668.jpg	111어9668                 	0.9358
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044857_11어9663.jpg	111어9668                 	0.6860
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044914_1어9668.jpg	111어9668                 	0.7592
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044947_84저4949.jpg	044949                   	0.2261
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044947_133323.jpg	131나3323                 	0.3130
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044950_3다3323.jpg	131나3323                 	0.6653
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044955_131다3323.jpg	131나3323                 	0.8793
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044958_1313다3323.jpg	131나3323                 	0.3365
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045003_13다3323.jpg	131너3323                 	0.3814
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045008_13너다3323.jpg	131나3323                 	0.8101
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045018_33323.jpg	131나3323                 	0.7898
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045026_313323.jpg	131너3323                 	0.5544
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045114_26마4985.jpg	2086머4985                	0.0993
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045145_26아4985.jpg	266머4985                 	0.7491
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045156_266사4985.jpg	266머4985                 	0.3888
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045219_1575허1023.jpg	157하1023                 	0.7222
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045222_157허1023.jpg	157하1023                 	0.5282
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045224_157하1023.jpg	157하1023                 	0.9731
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045227_15하1023.jpg	157하1023                 	0.5699
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045229_15허1023.jpg	157하1023                 	0.8695
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045255_15아1023.jpg	157하1023                 	0.7382
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045356_30바3833.jpg	830어3833                 	0.6634
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045403_3바3833.jpg	030어3833                 	0.4241
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045432_3바3033.jpg	30어3833                  	0.9474
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045434_33833.jpg	030어3833                 	0.3626
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045434_757343.jpg	7소0                      	0.3217
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045436_303411.jpg	소90                      	0.0823
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-045439_307380.jpg	79                       	0.1623
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-050649_45주8648.jpg	45구864                   	0.3849
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-050745_5주8648.jpg	45848                    	0.5162
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051709_38호4831.jpg	38오4831                  	0.7035
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051712_38우1831.jpg	38오4831                  	0.5093
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051714_38오4831.jpg	38오4831                  	0.7203
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051731_38우4831.jpg	38보4831                  	0.3870
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051740_38우41031.jpg	38모4031                  	0.3567
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051812_40머3464.jpg	403464                   	0.1448
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051814_40어3464.jpg	40어3464                  	0.7802
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051828_40머3461.jpg	403464                   	0.8437
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051833_40어3466.jpg	403464                   	0.6968
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051840_4013461.jpg	403464                   	0.8768
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051852_4013161.jpg	40어3464                  	0.6311
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051854_40어3461.jpg	40어3464                  	0.7444
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051856_30바5067.jpg	930어5067                 	0.7284
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051859_3바5067.jpg	30어5067                  	0.6590
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051946_04서4948.jpg	04서4948                  	0.7202
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-051956_04서4940.jpg	04서4948                  	0.9749
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052018_05서4948.jpg	04서4948                  	0.7744
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052100_46두2817.jpg	46무2817                  	0.1375
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052103_46우2817.jpg	46누2817                  	0.4601
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052105_469우2817.jpg	46누2817                  	0.3348
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052110_46우두2817.jpg	46도2817                  	0.2706
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052117_46무2817.jpg	46두2817                  	0.6219
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052119_54나3971.jpg	54나3971                  	0.9736
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052134_56우2817.jpg	467019                   	0.5502
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052225_192주1822.jpg	192주1822                 	0.9595
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052234_192오2주1822.jpg	192주1822                 	0.5523
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052258_192주1827.jpg	192수1822                 	0.4551
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052305_192주1877.jpg	1921822                  	0.7557
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052649_47도9247.jpg	47도9247                  	0.9971
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052703_47도72417.jpg	47노9247                  	0.5842
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052705_47도9747.jpg	47도9247                  	0.9951
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052710_47도92417.jpg	47도9247                  	0.5550
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052717_47두7747.jpg	47노9247                  	0.9213
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052719_47두9747.jpg	47도9247                  	0.9751
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052722_37두7747.jpg	47노9247                  	0.6813
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052913_26두8789.jpg	26누878                   	0.4428
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052916_26두8785.jpg	26두8789                  	0.7003
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052918_26우8789.jpg	26누8789                  	0.4275
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052932_76무8707.jpg	26누0789                  	0.8234
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052937_76무8785.jpg	26누0789                  	0.6670
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052939_76무8789.jpg	26누8789                  	0.1549
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052944_76두8787.jpg	26누0789                  	0.4448
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052946_76두8785.jpg	26누8709                  	0.7198
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052948_76두8707.jpg	26누0709                  	0.8972
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-052951_26두8707.jpg	760700                   	0.6486
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053024_28구4454.jpg	20145                    	0.9038
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053033_28구4154.jpg	28구4454                  	0.5351
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053036_28구4151.jpg	28구4454                  	0.3052
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053045_28구4451.jpg	28가4454                  	0.1001
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053054_28구1451.jpg	28구4454                  	0.8932
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053313_31노4718.jpg	31노4710                  	0.7133
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053322_31노4710.jpg	31노4718                  	0.6090
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053452_49모5643.jpg	49모5643                  	0.9422
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053456_49모56413.jpg	49모5643                  	0.6305
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053459_49모5613.jpg	49모5643                  	0.9221
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053501_49모5653.jpg	49모5643                  	0.9934
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053508_495653.jpg	49모5643                  	0.9646
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053523_49모5663.jpg	49더5643                  	0.5720
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053525_49무5653.jpg	49보5643                  	0.2864
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053606_61우1931.jpg	61누1931                  	0.7270
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-053627_6무1931.jpg	61루1931                  	0.3035
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054116_98사2186.jpg	998서2186                 	0.8097
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054121_9사2186.jpg	98서2186                  	0.9084
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054128_98사바2186.jpg	98서2186                  	0.3183
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054153_98바2186.jpg	98서2186                  	0.4245
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054158_98186.jpg	9서2106                   	0.1148
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054226_3서0449.jpg	13서044                   	0.5039
